author,viewcount,num,av,max_viewcount,fans
97266922,660281,6,35771231,537246,
201616878,660009,10,45118462,556854,
38236983,659557,23,39299837,117183,
391600671,659050,8,39695327,259803,
55993165,658885,19,39259141,289192,
49936944,658711,9,46347874,173353,
99049511,658243,3,45381710,382978,
375263521,656703,20,45503434,444724,
276964567,655458,8,44156862,281215,
30384694,653919,208,37291112,28615,
19255217,653302,12,46720255,221934,
238753973,651553,15,45312811,236380,
47316250,651011,258,37984634,144467,
161841839,649109,16,45661382,289764,
9486869,646131,23,50026424,236653,
37699248,646038,67,37629469,114485,
108409248,644146,7,38327086,492699,
321198654,643856,114,39685681,300229,
125296222,642099,1,37543721,642099,
52997098,640716,1,43850135,640716,
392673075,639938,3,39252723,407611,
15273331,638780,80,45306308,294459,
387903982,637734,2,36449618,520895,
392481631,636510,158,41949557,264488,
64865555,636407,20,48237489,172819,
404412545,635646,110,45717794,102424,
385625706,635401,95,35408585,138638,
16408483,634793,21,45463648,261143,
21974039,633289,11,41165982,246844,
32947729,630837,6,49039523,621965,
26531775,628712,1,41687317,628712,
398039882,628680,17,43754653,598964,
386605536,628083,38,48879266,193518,
30068750,626891,1,50271536,626891,
24759915,626699,10,38493241,338533,
14656554,626539,62,37058046,42076,
173882541,626464,43,37812682,163903,
288627620,625975,1,39109572,625975,
52451650,624290,13,35866766,554653,
277764629,624256,96,49699236,119074,
44923641,624187,38,46115714,145152,
26246273,622968,7,49310111,507268,
354778155,622092,32,41283805,261013,
279218097,621900,19,51158423,235746,
1401664,621800,6,39969064,319981,
249040341,620703,6,48843527,610625,
9590457,618808,26,35965055,228133,
32815214,618440,25,42719715,156706,
386733822,617775,650,36855736,378554,
388390616,617536,32,36798989,355117,
20729460,617297,32,52008510,71781,
392170972,616366,35,40960974,368891,
19455748,615788,10,37177809,303218,
11263375,612879,10,51313871,269808,
103282770,612310,87,41949353,70760,
262411962,611392,18,38777915,163406,
385081860,610705,66,35366785,99210,
384288436,610019,1,42483668,610019,
405033816,608809,6,45510129,303948,
5215731,608192,31,45990575,119159,
170027207,607278,1,40355456,607278,
94711930,606142,16,35213311,226291,
125011162,606040,23,35650029,214712,
261227876,603653,19,43327350,367890,
408154459,602685,10,51533496,335845,
389821767,602650,57,38001012,124959,
323938652,602456,17,39508397,247293,
398065083,602273,60,43630739,200746,
392481337,600436,137,40563315,103392,
41417787,599569,20,51931814,45252,
22021601,599415,4,41165179,287530,
323503247,598555,29,48231741,242012,
267041471,598178,16,35846485,359883,
29302053,597891,2,41017625,365179,
6380774,597479,31,44295847,489705,
327701920,597009,7,42282893,449103,
24953477,596854,1,39581977,596854,
35660079,596221,25,51450524,79586,
301797714,595673,38,36868553,128985,
391187708,595216,17,48069735,551362,
312515422,594031,6,42998386,295000,
1815855,591160,12,35541695,485635,
314083290,590766,68,38453569,193469,
408270686,588076,59,49064780,123806,
1510874,587763,3,35137486,533692,
35109909,587354,12,35274260,487229,
267569276,586068,68,35631561,54215,
271104001,585886,4,41314250,582352,
10064684,585330,5,40379687,547923,
172412093,585150,54,50523154,306125,
379005141,584505,89,36789584,185095,
19982200,584047,41,39222660,155205,
24333430,583361,1,37939526,583361,
13173631,582256,39,47707281,178701,
8480853,581663,67,36095656,18607,
28858867,581423,1,40552912,581423,
299200508,578929,29,51890091,106761,
384919602,578699,11,37056631,572430,
9112244,578244,6,42340478,420203,
