author,viewcount,num,av,max_viewcount,fans,tot_num
235555226,698675,14,41690061,263434,597272,
161805544,697370,2,44870781,694558,72,
76940654,696714,61,37663151,215478,4224,
384686392,695054,7,35870855,664743,365,
389505310,694859,1,38077527,694859,249,
156909583,692799,44,36811406,213685,507,
291234361,692604,18,49550299,75171,57192,
11831005,691913,115,41922413,45955,83322,
42230125,691806,24,38590700,152622,53617,
173581112,691348,2,40493752,470488,2464,
17707987,688625,3,36683631,599816,1310,
141276992,688555,181,37797741,42255,3228,
395182897,688475,26,42952616,250133,464,
325015760,688413,66,40034477,94443,2115,
398039250,688208,61,43730577,261423,483,
60167192,687515,10,45613216,314908,890,
42643721,686716,34,37765880,134264,496,
11365867,686476,1,40668681,686476,5144,
10337560,685379,20,42695267,153105,3517,
416905489,683377,8,49969975,630123,338,
131184355,682712,1,43810762,682712,673,
4737669,681053,18,45176833,185343,14851,
4716926,680273,893,38731563,27944,3203,
380748553,679066,82,40894529,204377,301,
360399639,678530,2,35497295,678375,359,
15482108,677866,127,35628382,42804,6585,
316380887,673996,39,47212209,77535,802,
302181979,672637,27,48518268,312340,302,
21584475,672028,8,43119301,317971,3567,
19318739,669919,55,43070498,153914,5272,
411559057,667889,15,49688043,473009,1052,
8980470,666222,46,46353019,160554,32500,
379342393,665312,10,37628009,640322,5467,
8743460,664659,24,41283588,206027,17042,
308952096,664199,14,47471559,302105,916,
386851042,662548,78,36221973,193610,7888,
31534062,662322,29,40801405,114025,413,
97266922,660281,6,35771231,537246,191,
201616878,660009,10,45118462,556854,761,
38236983,659557,23,39299837,117183,12975,
391600671,659050,8,39695327,259803,114,
55993165,658885,19,39259141,289192,266,
49936944,658711,9,46347874,173353,419,
99049511,658243,3,45381710,382978,356,
375263521,656703,20,45503434,444724,2324,
276964567,655458,8,44156862,281215,345,
30384694,653919,208,37291112,28615,1134,
19255217,653302,12,46720255,221934,199906,
238753973,651553,15,45312811,236380,167,
47316250,651011,258,37984634,144467,5806,
161841839,649109,16,45661382,289764,274,
9486869,646131,23,50026424,236653,238,
